customer_id,customer_name,city,customer_segment,customer_since,state
C0001,Customer_0001,Chennai,Online,2023-03-21,Tamil Nadu
C0002,Customer_0002,Bengaluru,Retailer,2024-05-25,Karnataka
C0003,Customer_0003,Hyderabad,Retailer,2025-04-20,Telangana
C0004,Customer_0004,Chennai,Wholesaler,2022-06-16,Tamil Nadu
C0005,Customer_0005,Delhi,Online,2022-04-01,Delhi
C0006,Customer_0006,Pune,Retailer,2023-12-15,West Bengal
C0007,Customer_0007,Hyderabad,Supermarket,2022-02-08,Telangana
C0008,Customer_0008,Hyderabad,Supermarket,2025-02-23,Telangana
C0009,Customer_0009,Chennai,Retailer,2026-01-14,Tamil Nadu
C0010,Customer_0010,Pune,Supermarket,2022-06-22,Maharashtra
C0011,Customer_0011,Delhi,Wholesaler,2023-10-15,Delhi
C0012,Customer_0012,Chennai,Supermarket,2024-01-24,Tamil Nadu
C0013,Customer_0013,Delhi,Supermarket,2025-05-28,Delhi
C0014,Customer_0014,Delhi,Wholesaler,2024-12-17,Delhi
C0015,Customer_0015,Kolkata,Retailer,2023-04-21,West Bengal
C0016,Customer_0016,Hyderabad,Supermarket,2023-04-01,Telangana
C0017,Customer_0017,Bengaluru,Retailer,2024-04-08,Karnataka
C0018,Customer_0018,Kolkata,Retailer,2024-06-13,West Bengal
C0019,Customer_0019,Kolkata,Retailer,2025-10-16,West Bengal
C0020,Customer_0020,Delhi,Supermarket,2024-10-21,Delhi
C0021,Customer_0021,Ahmedabad,Supermarket,2023-01-22,Gujarat
C0022,Customer_0022,Hyderabad,Retailer,2022-12-14,Telangana
C0023,Customer_0023,Pune,Wholesaler,2022-07-09,Maharashtra
C0024,Customer_0024,Kolkata,Retailer,2023-05-20,West Bengal
C0025,Customer_0025,Bengaluru,Supermarket,2025-04-29,Karnataka
C0026,Customer_0026,Ahmedabad,Retailer,2025-10-24,Gujarat
C0027,Customer_0027,Ahmedabad,Supermarket,2025-12-03,Gujarat
C0028,Customer_0028,Pune,Wholesaler,2024-04-03,Maharashtra
C0029,Customer_0029,Kolkata,Online,2024-07-17,West Bengal
C0030,Customer_0030,Bengaluru,Retailer,2024-07-22,Karnataka
C0031,Customer_0031,Hyderabad,Retailer,2025-02-14,Telangana
C0032,Customer_0032,Mumbai,Retailer,2022-05-14,Maharashtra
C0033,Customer_0033,Bengaluru,Online,2022-02-27,Karnataka
C0034,Customer_0034,Pune,Online,2023-11-16,Maharashtra
C0035,Customer_0035,Ahmedabad,Retailer,2023-11-03,Gujarat
C0036,Customer_0036,Hyderabad,Supermarket,2022-06-22,Telangana
C0037,Customer_0037,Bengaluru,Supermarket,2024-03-25,Karnataka
C0038,Customer_0038,Mumbai,Supermarket,2025-03-18,Maharashtra
C0039,Customer_0039,Mumbai,Wholesaler,2022-03-21,Maharashtra
C0040,Customer_0040,Delhi,Retailer,2024-06-04,Delhi
C0041,Customer_0041,Delhi,Retailer,2025-05-21,Delhi
C0042,Customer_0042,Chennai,Online,2022-07-22,Tamil Nadu
C0043,Customer_0043,Pune,Online,2024-02-03,Maharashtra
C0044,Customer_0044,Kolkata,Supermarket,2025-06-06,West Bengal
C0045,Customer_0045,Bengaluru,Retailer,2025-06-04,Karnataka
C0046,Customer_0046,Bengaluru,Retailer,2026-01-04,Karnataka
C0047,Customer_0047,Kolkata,Supermarket,2025-11-26,West Bengal
C0048,Customer_0048,Chennai,Online,2022-02-16,Tamil Nadu
C0049,Customer_0049,Ahmedabad,Online,2025-06-10,Gujarat
C0050,Customer_0050,Ahmedabad,Supermarket,2025-08-21,Gujarat
C0051,Customer_0051,Chennai,Supermarket,2025-03-12,Tamil Nadu
C0052,Customer_0052,Ahmedabad,Retailer,2025-12-09,Gujarat
C0053,Customer_0053,Delhi,Retailer,2025-10-28,Delhi
C0054,Customer_0054,Bengaluru,Online,2025-07-06,Karnataka
C0055,Customer_0055,Chennai,Supermarket,2023-10-18,Tamil Nadu
C0056,Customer_0056,Bengaluru,Retailer,2023-04-16,Karnataka
C0057,Customer_0057,Kolkata,Retailer,2024-08-28,West Bengal
C0058,Customer_0058,Mumbai,Supermarket,2024-11-01,Maharashtra
C0059,Customer_0059,Delhi,Retailer,2025-09-15,Delhi
C0060,Customer_0060,Hyderabad,Retailer,2024-01-06,Telangana
C0061,Customer_0061,Delhi,Wholesaler,2024-02-23,Delhi
C0062,Customer_0062,Chennai,Supermarket,2024-08-25,Tamil Nadu
C0063,Customer_0063,Hyderabad,Supermarket,2022-12-24,Telangana
C0064,Customer_0064,Mumbai,Retailer,2024-08-29,Maharashtra
C0065,Customer_0065,Chennai,Supermarket,2025-12-02,Tamil Nadu
C0066,Customer_0066,Pune,Retailer,2023-10-30,Maharashtra
C0067,Customer_0067,Bengaluru,Retailer,2023-01-08,Karnataka
C0068,Customer_0068,Mumbai,Supermarket,2024-10-28,Maharashtra
C0069,Customer_0069,Bengaluru,Supermarket,2025-02-19,Karnataka
C0070,Customer_0070,Ahmedabad,Supermarket,2025-10-03,Gujarat
C0071,Customer_0071,Pune,Supermarket,2023-11-07,Maharashtra
C0072,Customer_0072,Pune,Supermarket,2022-03-31,Maharashtra
C0073,Customer_0073,Mumbai,Retailer,2023-11-29,Maharashtra
C0074,Customer_0074,Pune,Wholesaler,2025-09-01,Maharashtra
C0075,Customer_0075,Hyderabad,Retailer,2025-04-16,Telangana
C0076,Customer_0076,Pune,Retailer,2023-06-24,Maharashtra
C0077,Customer_0077,Bengaluru,Online,2024-01-02,Karnataka
C0078,Customer_0078,Bengaluru,Wholesaler,2024-05-18,Karnataka
C0079,Customer_0079,Chennai,Online,2022-02-10,Tamil Nadu
C0080,Customer_0080,Bengaluru,Supermarket,2024-01-10,Karnataka
C0081,Customer_0081,Chennai,Supermarket,2023-05-17,Tamil Nadu
C0082,Customer_0082,Bengaluru,Wholesaler,2024-08-16,Karnataka
C0083,Customer_0083,Hyderabad,Supermarket,2025-03-14,Telangana
C0084,Customer_0084,Kolkata,Wholesaler,2025-05-09,West Bengal
C0085,Customer_0085,Chennai,Retailer,2024-07-17,Tamil Nadu
C0086,Customer_0086,Delhi,Supermarket,2023-04-06,Delhi
C0087,Customer_0087,Ahmedabad,Retailer,2024-01-02,Gujarat
C0088,Customer_0088,Mumbai,Retailer,2024-01-22,Maharashtra
C0089,Customer_0089,Bengaluru,Supermarket,2024-07-13,Karnataka
C0090,Customer_0090,Pune,Retailer,2024-06-27,Maharashtra
C0091,Customer_0091,Kolkata,Online,2025-06-30,West Bengal
C0092,Customer_0092,Bengaluru,Online,2023-01-25,Karnataka
C0093,Customer_0093,Pune,Online,2024-06-01,Maharashtra
C0094,Customer_0094,Ahmedabad,Wholesaler,2022-09-13,Gujarat
C0095,Customer_0095,Ahmedabad,Retailer,2023-12-10,Gujarat
C0096,Customer_0096,Ahmedabad,Online,2023-03-26,Gujarat
C0097,Customer_0097,Pune,Wholesaler,2022-01-10,Maharashtra
C0098,Customer_0098,Bengaluru,Online,2024-04-03,Karnataka
