inventory_id,full_date,product_id,warehouse,opening_stock,stock_received,units_sold,closing_stock,year,month,month_name
I00001,2025-01-01,P001,WH_Mumbai,387,171,60,498,2025,1,January
I00002,2025-01-01,P002,WH_Hyderabad,395,81,149,327,2025,1,January
I00003,2025-01-01,P003,WH_Mumbai,262,48,57,253,2025,1,January
I00004,2025-01-01,P004,WH_Hyderabad,489,106,49,546,2025,1,January
I00005,2025-01-01,P005,WH_Pune,157,22,42,137,2025,1,January
I00006,2025-01-01,P006,WH_Hyderabad,103,48,62,89,2025,1,January
I00007,2025-01-01,P007,WH_Mumbai,407,187,131,463,2025,1,January
I00008,2025-01-01,P008,WH_Pune,395,120,169,346,2025,1,January
I00009,2025-01-01,P009,WH_Bengaluru,198,221,155,264,2025,1,January
I00010,2025-01-01,P010,WH_Bengaluru,427,151,150,428,2025,1,January
I00011,2025-01-01,P011,WH_Pune,388,107,120,375,2025,1,January
I00012,2025-01-01,P012,WH_Mumbai,99,133,23,209,2025,1,January
I00013,2025-01-01,P013,WH_Bengaluru,133,157,96,194,2025,1,January
I00014,2025-01-01,P014,WH_Pune,143,93,50,186,2025,1,January
I00015,2025-01-01,P015,WH_Mumbai,213,240,73,380,2025,1,January
I00016,2025-01-01,P016,WH_Pune,65,77,97,45,2025,1,January
I00017,2025-01-01,P017,WH_Pune,121,30,23,128,2025,1,January
I00018,2025-01-01,P018,WH_Pune,417,192,77,532,2025,1,January
I00019,2025-01-01,P019,WH_Bengaluru,428,152,177,403,2025,1,January
I00020,2025-01-01,P020,WH_Bengaluru,74,68,140,2,2025,1,January
I00021,2025-01-01,P021,WH_Pune,345,165,47,463,2025,1,January
I00022,2025-01-01,P022,WH_Bengaluru,312,119,167,264,2025,1,January
I00023,2025-01-01,P023,WH_Delhi,280,231,44,467,2025,1,January
I00024,2025-01-01,P024,WH_Mumbai,210,37,87,160,2025,1,January
I00025,2025-01-01,P025,WH_Pune,490,205,37,658,2025,1,January
I00026,2025-01-01,P026,WH_Bengaluru,343,123,153,313,2025,1,January
I00027,2025-01-01,P027,WH_Hyderabad,141,5,106,40,2025,1,January
I00028,2025-01-01,P028,WH_Mumbai,432,107,24,515,2025,1,January
I00029,2025-01-01,P029,WH_Delhi,348,98,56,390,2025,1,January
I00030,2025-01-01,P030,WH_Pune,206,153,141,218,2025,1,January
I00031,2025-01-01,P031,WH_Delhi,445,144,11,578,2025,1,January
I00032,2025-01-01,P032,WH_Delhi,59,213,121,151,2025,1,January
I00033,2025-01-01,P033,WH_Mumbai,220,14,30,204,2025,1,January
