order_id,customer_id,product_id,order_date,quantity,discount_pct,sales_amount,cost_amount,profit,order_status,month,month_name,year
O00001,C0200,P013,2025-08-05,11,0.1,3463.52,2524.28,939.24,Delivered,8,August,2025
O00002,C0023,P040,2025-01-26,2,0.05,206.47,168.8,37.67,Delivered,1,January,2025
O00003,C0218,P008,2025-10-30,7,0.05,632.88,516.67,116.21,Delivered,10,October,2025
O00004,C0141,P005,2025-01-05,8,0.1,1972.08,1646.48,325.6,Delivered,1,January,2025
O00005,C0104,P009,2025-01-20,1,0.15,408.64,284.51,124.13,Delivered,1,January,2025
O00006,C0210,P001,2025-07-17,12,0.05,2692.0,1727.88,964.12,Delivered,7,July,2025
O00007,C0111,P036,2025-02-28,10,0.1,587.88,532.6,55.28,Delivered,2,February,2025
O00008,C0104,P035,2025-08-30,9,0.15,1293.92,918.18,375.74,Delivered,8,August,2025
O00009,C0171,P002,2025-05-26,15,0.05,7090.66,5280.45,1810.21,Delivered,5,May,2025
O00010,C0133,P040,2025-09-30,13,0.05,1342.07,1097.2,244.87,Delivered,9,September,2025
O00011,C0293,P023,2025-09-06,15,,6128.52,4719.6,1408.92,Delivered,9,September,2025
O00012,C0127,P009,2025-01-14,11,0.15,4495.01,3129.61,1365.4,Delivered,1,January,2025
O00013,C0106,P034,2025-01-13,4,0.1,1855.76,1695.16,160.6,Delivered,1,January,2025
O00014,C0092,P046,2025-02-13,14,0.1,5044.54,4307.94,736.6,Delivered,2,February,2025
O00015,C0287,P014,2025-01-19,12,0.0,3680.16,3016.2,663.96,Delivered,1,January,2025
O00016,C0051,P004,2025-03-04,14,0.1,2924.08,2275.84,648.24,Delivered,3,March,2025
O00017,C0029,P030,2025-08-27,4,0.1,2187.5,1512.04,675.46,Delivered,8,August,2025
O00018,C0296,P031,2025-12-03,3,0.1,1969.16,1305.42,663.74,Delivered,12,December,2025
O00019,C0297,P038,2025-04-10,6,0.05,2498.2,1614.9,883.3,Delivered,4,April,2025
O00020,C0214,P011,2025-06-12,1,0.0,401.55,272.03,129.52,Delivered,6,June,2025
O00021,C0267,P035,2025-05-02,6,0.0,1014.84,612.12,402.72,Delivered,5,May,2025
O00022,C0257,P008,2025-02-13,2,0.25,142.76,147.62,-4.86,Delivered,2,February,2025
O00023,C0101,P003,2025-12-26,9,0.1,1164.78,940.41,224.37,Cancelled,12,December,2025
O00024,C0110,P014,2025-11-13,2,0.1,552.02,502.7,49.32,Delivered,11,November,2025
O00025,C0182,P013,2025-05-25,7,0.0,2448.95,1606.36,842.59,Delivered,5,May,2025
O00026,C0001,P045,2025-11-23,12,0.0,6572.88,4454.28,2118.6,delivered,11,November,2025
O00027,C0055,P032,2025-12-29,1,0.15,89.66,77.83,11.83,Delivered,12,December,2025
O00028,C0149,P034,2025-02-19,12,0.1,5567.29,5085.48,481.81,Delivered,2,February,2025
O00029,C0137,P045,2025-03-06,7,0.1,3450.76,2598.33,852.43,Delivered,3,March,2025
O00030,C0202,P019,2025-12-21,5,0.0,3624.7,2228.65,1396.05,Delivered,12,December,2025
O00031,C0117,P038,2025-10-15,8,0.15,2980.3,2153.2,827.1,Delivered,10,October,2025
